Time (seconds),strength
0.76,1012
0.86,1011
0.97,1005
1.07,1015
1.18,1012
1.28,1009
1.38,1011
1.49,1015
1.59,1011
1.70,1016
1.80,1025
1.90,1016
2.01,1058
2.11,1104
2.22,986
2.32,1011
2.42,1042
2.53,1017
2.63,1012
2.74,1015
2.84,1009
2.94,1033
3.05,1021
3.15,1003
3.28,998
3.38,1036
3.48,1004
3.59,1014
3.69,1018
3.80,1009
3.90,1004
4.00,1019
4.11,1015
4.21,1003
4.32,1009
4.42,1032
4.52,1013
4.63,1014
4.73,1007
4.84,1009
4.94,1009
5.04,1008
5.15,1008
5.25,1020
5.36,1015
5.46,1016
5.56,1012
5.67,1012
5.77,1004
5.88,1016
6.00,1020
6.10,1020
6.20,1021
6.31,1013
6.41,1014
6.52,1018
6.62,1018
6.72,1024
6.83,1008
6.93,1016
7.04,1016
7.14,1013
7.24,1020
7.35,1013
7.45,1024
7.56,1013
7.66,1020
7.76,1018
7.87,1005
7.97,1013
8.08,1018
8.18,1017
8.28,1018
8.39,1014
8.49,1022
8.62,1021
8.72,1020
8.82,1013
8.93,1005
9.03,1013
9.14,1017
9.24,1017
9.34,1013
9.45,1014
9.55,1017
9.66,1020
9.76,1007
9.86,1013
9.97,1017
10.07,1016
10.18,1009
10.28,1008
10.38,1017
10.49,1008
10.59,1007
10.70,1009
10.80,1020
10.90,1011
11.01,1016
11.11,1020
11.24,1004
11.34,1023
11.44,1025
11.55,1041
11.65,1017
11.76,1008
11.86,1016
11.96,1049
12.07,1000
12.17,1007
12.28,1004
12.38,1003
12.48,1007
12.59,1003
12.69,1015
12.80,1006
12.90,1026
13.00,950
13.11,1013
13.21,1009
13.32,1066
13.42,1018
13.52,650
13.65,997
13.75,1042
13.86,1150
13.96,1025
14.06,1000
14.17,1018
14.27,1026
14.38,1022
14.48,1063
14.58,998
14.69,1081
14.79,986
14.90,1020
15.00,1007
15.10,1009
15.21,995
15.31,1015
15.42,1053
15.52,1015
15.62,1047
15.73,1009
15.83,1009
15.94,1036
16.04,1028
16.16,1008
16.27,1023
16.37,1019
16.48,1011
16.58,1003
16.68,1009
16.79,1015
16.89,1016
17.00,1012
17.10,1005
17.20,1010
17.31,1043
17.41,1012
17.52,1014
17.62,1001
17.72,1004
17.83,1018
17.93,1013
18.04,1029
18.14,1022
18.24,986
18.35,1022
18.45,1012
18.58,1013
18.68,1010
18.78,1008
18.89,1017
18.99,1014
19.10,1006
19.20,1006
19.30,1298
19.41,1028
19.51,1032
19.62,1018
19.72,1000
19.82,1014
19.93,1002
20.03,1017
20.14,1018
20.24,1078
20.34,1005
20.45,1018
20.55,1005
20.66,1020
20.76,1003
20.86,1019
20.99,1016
21.09,1008
21.20,1014
21.30,1008
21.40,1013
21.51,1022
21.61,1006
21.72,1021
21.82,1018
21.92,1010
22.03,1004
22.13,1012
22.24,1014
22.34,1009
22.44,1013
22.55,1013
22.65,1013
22.76,1016
22.86,1016
22.96,1013
23.07,1014
23.17,1022
23.28,1013
23.38,1010
23.51,1010
23.61,1014
23.71,1018
23.82,1017
23.92,1021
24.02,1005
24.13,1022
24.23,1018
24.34,1017
24.44,1005
24.54,1013
24.65,1014
24.75,1008
24.86,1013
24.96,1014
25.06,1022
25.17,1013
25.27,1022
25.38,1009
25.48,1014
25.58,1014
25.69,1018
25.79,1014
25.92,1014
26.02,1009
26.12,1018
26.23,1016
26.33,1018
26.44,1017
26.54,1014
26.64,1013
26.75,1017
26.85,1017
26.96,1020
27.06,1009
27.16,1013
27.27,1014
27.37,1014
27.48,1013
27.58,1022
27.68,1021
27.79,1008
27.89,1016
28.00,1008
28.10,1013
28.20,1008
28.33,1008
28.43,1017
28.54,1021
28.64,1014
28.74,1013
28.85,1010
28.95,1020
29.06,1018
29.16,1005
29.26,1014
29.37,1014
29.47,1009
29.58,1022
29.68,1020
29.78,1018
29.89,1018
29.99,1020
30.10,1017
30.20,1018
30.30,1018
30.41,1010
30.51,1018
30.62,1013
30.73,1017
30.84,1017
30.94,1018
31.05,1016
31.15,1014
31.26,1017
31.36,1014
31.46,1013
31.57,1022
31.67,1016
31.78,1013
31.88,1017
31.98,1014
32.09,1009
32.19,1018
32.30,1013
32.40,1014
32.50,1009
32.61,1016
32.71,1010
32.82,1001
32.92,1018
33.02,1008
33.13,1009
33.25,1016
33.36,1022
33.46,1008
33.56,1022
33.67,1071
33.77,1020
33.88,996
33.98,1022
34.08,1010
34.19,1001
34.29,1012
34.40,1014
34.50,1010
34.60,1030
34.71,1005
34.81,1005
34.92,1010
35.02,1057
35.12,1033
35.23,965
35.33,1039
35.44,1006
35.54,1016
35.66,1015
35.77,1017
35.87,1012
35.98,1005
36.08,1022
36.18,1037
36.29,1012
36.39,993
36.50,1022
36.60,1008
36.70,1018
36.81,1032
36.91,1019
37.02,1019
37.12,1008
37.22,1013
37.33,1022
37.43,1009
37.54,1005
37.64,1017
37.74,1013
37.85,1004
37.95,999
38.06,1017
38.18,1033
38.28,1000
38.39,1026
38.49,1018
38.60,1018
38.70,1067
38.80,1035
38.91,1018
39.01,1014
39.12,1010
39.22,992
39.32,997
39.43,1018
39.53,1018
39.64,1010
39.74,1018
39.84,1011
39.95,1017
40.05,1005
40.16,1043
40.26,995
40.36,1025
40.47,1009
40.70,1014
40.80,1009
40.90,1009
41.01,1008
41.11,1018
41.22,1025
41.32,1016
41.42,970
41.53,1018
41.63,1010
41.74,1017
41.84,1029
41.94,1004
42.05,1008
42.15,1009
42.26,1009
42.36,1009
42.46,1018
42.57,364
42.67,1091
42.78,992
42.88,1016
42.98,1020
43.09,1007
43.21,1018
43.32,1016
43.42,1018
43.52,1020
43.63,1022
43.73,1019
43.84,1017
43.94,1016
44.04,1010
44.15,1020
44.25,1002
44.36,1006
44.46,1012
44.56,1018
44.67,1013
44.77,1014
44.88,1014
44.98,1012
45.08,1089
45.19,1043
45.29,1016
45.40,1016
45.50,979
45.62,1019
45.73,1006
45.83,1014
45.94,1014
46.04,1012
46.14,1016
46.25,1012
46.35,1014
46.46,1012
46.56,1008
46.66,1014
46.77,1007
46.87,1013
46.98,1017
47.08,1009
47.18,1017
47.29,1018
47.39,1010
47.50,1014
47.60,1018
47.70,1006
47.81,1005
47.91,1009
48.04,1002
48.14,1072
48.24,1065
48.35,980
48.45,997
48.56,999
48.66,1013
48.76,1004
48.87,996
48.97,987
49.08,1014
49.18,1016
49.28,1012
49.39,1016
49.49,1014
49.60,1010
49.70,1013
49.80,1016
49.91,1028
50.01,1021
50.12,1145
50.22,944
50.32,1006
50.43,1047
50.55,1008
50.66,1002
50.76,1012
50.86,1022
50.97,1008
51.07,997
51.18,1021
51.28,1047
51.38,991
51.49,1008
51.59,1016
51.70,1010
51.80,1014
51.90,1024
52.01,1018
52.11,1018
52.22,1016
52.32,1018
52.42,1006
52.53,1013
52.63,1009
52.74,970
52.84,1031
52.94,1015
53.07,1015
53.17,993
